
INFO:root:episode:9  step:4 Cost:93.3735523007606 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:9  step:5 Cost:67.89301927114253 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:9  step:6 Cost:59.559685937809206 min Cost:48.12398988745073 Reward:-114.35696050358473 global reward:100 Action:[0, 1]
INFO:root:episode:10  step:1 Cost:40.88888731497045 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:10  step:2 Cost:54.633238278254915 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:10  step:3 Cost:89.20688563409391 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:10  step:4 Cost:92.7646202446902 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[2, 2]
INFO:root:episode:10  step:5 Cost:69.18393776344918 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[3, 1]
INFO:root:episode:10  step:6 Cost:73.35060443011584 min Cost:48.12398988745073 Reward:-252.26614542665104 global reward:100 Action:[2, 4]
INFO:root:episode:11  step:1 Cost:35.9845798057431 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:11  step:2 Cost:49.89346002261951 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:11  step:3 Cost:88.95674046002226 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:11  step:4 Cost:72.61908540706689 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:11  step:5 Cost:68.45241874040022 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[0, 1]
INFO:root:episode:11  step:6 Cost:68.45241874040022 min Cost:48.12398988745073 Reward:-203.28428852949486 global reward:100 Action:[2, 4]
INFO:root:episode:12  step:1 Cost:35.9845798057431 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:12  step:2 Cost:47.785138759348044 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[1, 0]
INFO:root:episode:12  step:3 Cost:65.8898757253607 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[3, 5]
INFO:root:episode:12  step:4 Cost:65.8898757253607 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:12  step:5 Cost:78.3898757253607 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[1, 4]
INFO:root:episode:12  step:6 Cost:78.3898757253607 min Cost:48.12398988745073 Reward:-302.6588583790996 global reward:100 Action:[3, 1]
INFO:root:episode:13  step:1 Cost:35.9845798057431 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:13  step:2 Cost:49.89346002261951 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:13  step:3 Cost:59.3412525095351 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:13  step:4 Cost:67.54342771723267 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:13  step:5 Cost:67.54342771723267 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[3, 1]
INFO:root:episode:13  step:6 Cost:71.26020840954749 min Cost:48.12398988745073 Reward:-231.36218522096755 global reward:100 Action:[2, 4]
INFO:root:episode:14  step:1 Cost:44.83829692728923 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[3, 4]
INFO:root:episode:14  step:2 Cost:60.87981293453373 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:14  step:3 Cost:73.37981293453373 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[2, 2]
INFO:root:episode:14  step:4 Cost:73.50133944628243 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[1, 0]
INFO:root:episode:14  step:5 Cost:55.81872730038825 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[0, 1]
INFO:root:episode:14  step:6 Cost:64.15206063372159 min Cost:48.12398988745073 Reward:-160.28070746270856 global reward:100 Action:[0, 5]
INFO:root:episode:15  step:1 Cost:34.911479213884654 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:15  step:2 Cost:50.01365944459359 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:15  step:3 Cost:64.75065793308575 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:15  step:4 Cost:50.46387117482202 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:15  step:5 Cost:50.46387117482202 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[3, 1]
INFO:root:episode:15  step:6 Cost:54.63053784148868 min Cost:48.12398988745073 Reward:-65.06547954037949 global reward:100 Action:[2, 4]
INFO:root:episode:16  step:1 Cost:34.911479213884654 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:16  step:2 Cost:50.01365944459359 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:16  step:3 Cost:64.75065793308575 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:16  step:4 Cost:50.46387117482202 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:16  step:5 Cost:50.46387117482202 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[3, 1]
INFO:root:episode:16  step:6 Cost:55.867435230456294 min Cost:48.12398988745073 Reward:-77.43445343005561 global reward:100 Action:[2, 4]
INFO:root:episode:17  step:1 Cost:39.37576993310847 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:17  step:2 Cost:53.43101691732286 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:17  step:3 Cost:66.6370252815861 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:17  step:4 Cost:51.83349626206362 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:17  step:5 Cost:60.16682959539694 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[1, 1]
INFO:root:episode:17  step:6 Cost:60.16682959539694 min Cost:48.12398988745073 Reward:-120.42839707946207 global reward:100 Action:[2, 4]
INFO:root:episode:18  step:1 Cost:39.37576993310847 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:18  step:2 Cost:51.87576993310847 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[2, 0]
INFO:root:episode:18  step:3 Cost:67.96396144175336 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:18  step:4 Cost:70.07344540210187 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[0, 1]
INFO:root:episode:18  step:5 Cost:67.69513390042192 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:18  step:6 Cost:59.361800567088586 min Cost:48.12398988745073 Reward:-112.37810679637853 global reward:100 Action:[1, 4]
INFO:root:episode:19  step:1 Cost:39.37576993310847 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:19  step:2 Cost:52.86546191922446 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:19  step:3 Cost:61.740112068768546 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:19  step:4 Cost:57.573445402101875 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[0, 1]
